 3.50  2300.  0.0  2.0   0.8503    0.0240    0.4880    0.6194    0.1330  r PD
 4.00  2300.  0.0  2.0   0.9302   -0.0615    0.7024    0.3140    0.0974  r PD
 4.50  2300.  0.0  2.0   0.8912   -0.0112    0.6860    0.3206    0.0688  r PD
 5.00  2300.  0.0  2.0   0.8547    0.0126    0.6918    0.2731    0.0570  r PD
 5.50  2300.  0.0  2.0   0.8011    0.0614    0.6749    0.2636    0.0382  r PD
 2.50  2400.  0.0  2.0   0.6646    0.2934    0.2319    1.0495    0.1893  r PD
 3.00  2400.  0.0  2.0   0.7052    0.2031    0.2205    1.0120    0.2043  r PD
 3.50  2400.  0.0  2.0   0.7069    0.2174    0.3132    0.8587    0.1769  r PD
 4.00  2400.  0.0  2.0   0.6941    0.2500    0.4001    0.7236    0.1281  r PD
 4.50  2400.  0.0  2.0   0.7715    0.1640    0.5594    0.5005    0.1039  r PD
 5.00  2400.  0.0  2.0   0.7172    0.2054    0.5382    0.4861    0.0845  r PD
 5.50  2400.  0.0  2.0   0.7738    0.1147    0.6228    0.3508    0.0691  r PD
 2.50  2500.  0.0  2.0   0.4729    0.6005    0.1969    1.1126    0.1290  r PD
 3.00  2500.  0.0  2.0   0.4139    0.6286    0.0611    1.2315    0.1633  r PD
 3.50  2500.  0.0  2.0   0.4469    0.5755    0.1103    1.1291    0.1663  r PD
 4.00  2500.  0.0  2.0   0.5222    0.4806    0.2287    0.9510    0.1477  r PD
 4.50  2500.  0.0  2.0   0.5616    0.4301    0.3235    0.8049    0.1284  r PD
 5.00  2500.  0.0  2.0   0.6078    0.3664    0.4252    0.6510    0.0964  r PD
 5.50  2500.  0.0  2.0   0.6477    0.2962    0.4970    0.5291    0.0819  r PD
 2.50  2600.  0.0  2.0   0.5170    0.5053    0.1872    1.1290    0.0836  r PD
 3.00  2600.  0.0  2.0   0.3372    0.7236   -0.0004    1.3154    0.1134  r PD
 3.50  2600.  0.0  2.0   0.1869    0.9279   -0.0597    1.3443    0.1019  r PD
 4.00  2600.  0.0  2.0   0.2538    0.8335    0.0185    1.2147    0.1156  r PD
 4.50  2600.  0.0  2.0   0.3433    0.7142    0.1305    1.0494    0.1189  r PD
 5.00  2600.  0.0  2.0   0.4359    0.5907    0.2579    0.8681    0.0993  r PD
 5.50  2600.  0.0  2.0   0.4742    0.5294    0.3332    0.7468    0.0825  r PD
 2.50  2700.  0.0  2.0   0.4384    0.5771    0.0670    1.2800    0.0826  r PD
 3.00  2700.  0.0  2.0   0.3052    0.7522   -0.0494    1.3772    0.1114  r PD
 3.50  2700.  0.0  2.0   0.1322    0.9594   -0.1866    1.4987    0.1273  r PD
 4.00  2700.  0.0  2.0   0.1028    0.9949   -0.1684    1.4385    0.1334  r PD
 4.50  2700.  0.0  2.0   0.1679    0.9147   -0.0679    1.2889    0.1364  r PD
 5.00  2700.  0.0  2.0   0.2264    0.8454    0.0488    1.1218    0.1086  r PD
 5.50  2700.  0.0  2.0   0.3317    0.7061    0.1932    0.9200    0.0818  r PD
 2.50  2800.  0.0  2.0   0.3377    0.6924   -0.0356    1.4123    0.0686  r PD
 3.00  2800.  0.0  2.0   0.2387    0.8271   -0.1109    1.4531    0.0908  r PD
 3.50  2800.  0.0  2.0   0.0536    1.0313   -0.2907    1.6221    0.1167  r PD
 4.00  2800.  0.0  2.0  -0.0288    1.1268   -0.3100    1.5964    0.1157  r PD
 4.50  2800.  0.0  2.0   0.0001    1.0968   -0.2268    1.4641    0.1172  r PD
 5.00  2800.  0.0  2.0   0.0733    1.0094   -0.1107    1.2995    0.1104  r PD
 5.50  2800.  0.0  2.0   0.1995    0.8545    0.0457    1.0930    0.0937  r PD
 2.50  2900.  0.0  2.0   0.2901    0.7175   -0.1320    1.5366    0.0616  r PD
 3.00  2900.  0.0  2.0   0.1826    0.8681   -0.1991    1.5611    0.0752  r PD
 3.50  2900.  0.0  2.0   0.0040    1.0815   -0.3389    1.6796    0.0898  r PD
 4.00  2900.  0.0  2.0  -0.0844    1.1687   -0.3861    1.6808    0.1004  r PD
 4.50  2900.  0.0  2.0  -0.1215    1.2035   -0.3563    1.5950    0.0895  r PD
 5.00  2900.  0.0  2.0  -0.0713    1.1510   -0.2573    1.4524    0.0926  r PD
 5.50  2900.  0.0  2.0   0.0675    0.9837   -0.0961    1.2409    0.0938  r PD
 2.50  3000.  0.0  2.0   0.1854    0.8383   -0.2277    1.6684    0.0622  r PD
 3.00  3000.  0.0  2.0   0.1254    0.8996   -0.3122    1.7085    0.0562  r PD
 3.50  3000.  0.0  2.0  -0.0098    1.0710   -0.3807    1.7271    0.0682  r PD
 4.00  3000.  0.0  2.0  -0.1175    1.1710   -0.4322    1.7107    0.0769  r PD
 4.50  3000.  0.0  2.0  -0.1638    1.2269   -0.4015    1.6283    0.0718  r PD
 5.00  3000.  0.0  2.0  -0.1776    1.2379   -0.3544    1.5322    0.0652  r PD
 5.50  3000.  0.0  2.0  -0.0682    1.1133   -0.2257    1.3656    0.0811  r PD
